,id,created_at,text,rating,timestamp
79,986639920189108224,2018-04-18 16:17:42,This is George. He would puppreciate five more minutes. There is absolutely no shame in an extended snoozle. 12/10… https://t.co/bbWWcOfrH9,12.0,1524068262.0
80,986394000415485952,2018-04-18 00:00:30,"This is Wilson. He hopes your day is going well. If not, you can always zoom in on his tongue bubbles. 13/10 thank… https://t.co/cbCUkTRWPE",13.0,1524009630.0
83,985700162956865536,2018-04-16 02:03:26,"RT @shortyawards: Wow, so honored to get to tweet this: @dog_rates doing very good work, much enthusiasm, 13/10. Congrats on your Best Anim…",13.0,1523844206.0
87,985197159451512832,2018-04-14 16:44:41,This is Stella. She has been crowned the dandelion queen. Has waited her whole life for such a h*ckin honor. 13/10… https://t.co/oMfQQDpV1y,13.0,1523724281.0
92,984594512780709888,2018-04-13 00:49:59,This is Kipling. He noticed you forgot a towel for after your shower. Thought he could be of assistance. 14/10 a tr… https://t.co/TYVt8DB4dv,14.0,1523580599.0
97,983850009203544065,2018-04-10 23:31:35,This is Biff. He ordered his scone a while ago. Would like a word with whoever’s in charge around here. 13/10 deep… https://t.co/0bPrBLER3R,13.0,1523403095.0
101,983498439844663296,2018-04-10 00:14:35,This is Champ. He was told he could only bring one item to the park. No rules against combinations. 13/10 innovativ… https://t.co/4u4C5ZFJNY,13.0,1523319275.0
105,983133464315691008,2018-04-09 00:04:18,This is Wiley. He has a heart on his nose. 14/10 would protect at all costs  (IG: hi.wiley) https://t.co/AQ3ZonhPRN,14.0,1523232258.0
110,982014460561850368,2018-04-05 21:57:47,@Starbucks can confirm 13/10,13.0,1522965467.0
111,981929074846322689,2018-04-05 16:18:29,This is Lucky. He likes to get pup close and personal. Needs everyone to know how soft his noggin is. 13/10 would b… https://t.co/fDWmIkBSBm,13.0,1522945109.0
117,981567107325399041,2018-04-04 16:20:09,This is Remi. She just discovered that tiny legs don’t generate the forces required for this activity. 13/10 would… https://t.co/G7C9rXzBJZ,13.0,1522858809.0
122,981322022591574021,2018-04-04 00:06:16,"This is Sawyer. If you don’t mind, he’d appreciate some privacy as he puppares his bath. 13/10 https://t.co/ELLNT2Ilt6",13.0,1522800376.0
127,980958432772714498,2018-04-03 00:01:30,"This is Pluto. He enjoys spending quality time with his father. They have a unique, yet powerful bond. 12/10 for bo… https://t.co/EcQF4y1Gv1",12.0,1522713690.0
129,980837983178907649,2018-04-02 16:02:52,This is Charlie. He’s a guide pup in training. Working hard on not being distracted by literally everything. 13/10… https://t.co/XM0p0kH2pr,13.0,1522684972.0
136,980459826756145152,2018-04-01 15:00:13,This is Maggie. She has no idea where the last Easter egg went. Not sure why you’re interrogating her. 13/10 would… https://t.co/ACWFwVbF7H,13.0,1522594813.0
144,979387798296977414,2018-03-29 16:00:21,Meet Kenny. He gets nervous during car rides. Only feels safe if you hold him close and massage his noggin. 12/10 a… https://t.co/BQKOLXP2pt,12.0,1522339221.0
149,979022640504557568,2018-03-28 15:49:21,This is Rizzo. His goodness can be identified from across the street three floors down. 14/10 a truly impressive go… https://t.co/C1MnRAwGSu,14.0,1522252161.0
161,978298085767045120,2018-03-26 15:50:14,This is Sam. He occasionally misplaces his ears. Always finds them though. 13/10 superb boy https://t.co/slaNqgk6XF,13.0,1522079414.0
163,977630329145102338,2018-03-24 19:36:48,Here is a very supportive pup toting a simple statement while marching with her humans today. 14/10… https://t.co/7sZOv3Aj7Z,14.0,1521920208.0
166,977307019790241793,2018-03-23 22:12:05,@SeaTimesSports all I’ll say is that 10/10 is quite low,10.0,1521843125.0
176,976965618112061440,2018-03-22 23:35:29,"Here is a puppo executing a passionate attempt. 14/10 would boost
(IG: thegolden_finnley) https://t.co/aVC45fKDbU",14.0,1521761729.0
181,976497585828646912,2018-03-21 16:35:41,This is Finnley. He heard someone say to raise your hand if you’re a good boy. 14/10 good boy status confirmed https://t.co/6zLM6mdyWU,14.0,1521650141.0
182,976201779556864004,2018-03-20 21:00:15,@DavidDobrik 12/10 lovely pup https://t.co/4wA7egfUBz,12.0,1521579615.0
183,976128197015359496,2018-03-20 16:07:52,RT @dog_rates: This is Frisco. He’s simply a majestic boy. Planning to place these at the front of his modeling pupfolio. 13/10 would sign…,13.0,1521562072.0
184,975887646223462400,2018-03-20 00:12:00,This is Armas. He is king of the frosty head tilts. Flawlessly executed sneaky tongue slip as well. 13/10 simply br… https://t.co/5Pf290kmPV,13.0,1521504720.0
191,975522681985658880,2018-03-19 00:01:46,This is Chief. He’s hype as h*ck for the game. Claims he’s been a fan forever. 13/10 really hopes both teams have f… https://t.co/JvjSlnNYhJ,13.0,1521417706.0
205,974440398528700422,2018-03-16 00:21:09,RT @dog_rates: Here's a heartwarming scene of a single father raising his two pups. Downright awe-inspiring af. 12/10 for everyone https://…,12.0,1521159669.0
207,974317372013244416,2018-03-15 16:12:18,This is Rooster. He would like a hug. Maybe a kiss too but the hug is top priority. 12/10 would obviously accept https://t.co/IpyBPeRrel,12.0,1521130338.0
208,974075638272462848,2018-03-15 00:11:44,This is Caillou. He likes to visit the flowers. He knows they make him happy. 13/10 a mental health icon https://t.co/JshpO1tIzb,13.0,1521072704.0
228,972981458339074048,2018-03-11 23:43:51,This is Bunsen. He grew pup into a fine young medical professional. Specializes in mending hearts. 13/10 would ask… https://t.co/DOWKtpO9oT,13.0,1520811831.0
233,971544454241964034,2018-03-08 00:33:42,This is Duke. He roar. 13/10 would follow into battle https://t.co/z8mtkTqwx7,13.0,1520469222.0
238,970748525222027264,2018-03-05 19:50:58,@sonic_hedgehog a rare ᵈᵒᵘᵇˡᵉ ʷᵃᵍ ᵇᵒᶦ 14/10 would be an honor to pet,14.0,1520279458.0
243,970103884843769856,2018-03-04 01:09:24,This is Scooter. At 13 years old he decided to stay true to his name. Now goes 0-60 in 2.4 seconds. 14/10… https://t.co/ZsFcoiWHmU,14.0,1520125764.0
250,969394117938696192,2018-03-02 02:09:02,This is Archie. He moved in today. Already claimed your bed. It is his now. 13/10 so are the balloons https://t.co/MbkB5MhVCU,13.0,1519956542.0
254,969030957352345601,2018-03-01 02:05:58,"Meet Cooper. He doesn't know how to growl yet, so this is the face he makes to be tough. 12/10 very fierce much int… https://t.co/IHOsjcKd0v",12.0,1519869958.0
257,968895980610482177,2018-02-28 17:09:37,"This is Kona. She overheard you call the neighbor's dog the ""best girl."" A position she thought she held. 13/10 wil… https://t.co/mudukYkGrV",13.0,1519837777.0
260,968551737899606017,2018-02-27 18:21:43,This is Waverley. She knows how difficult bath time can be. 13/10 will be right there if you need her https://t.co/LlwdCEcCD8,13.0,1519755703.0
261,968176034674855936,2018-02-26 17:28:49,This is Nala. It’s her first snow day. She chomps when she gets excited. 12/10 h*ckin relatable https://t.co/Kh9gwd3Fce,12.0,1519666129.0
281,966106502858756096,2018-02-21 00:25:14,Meet Maverick. He can make even the mightiest melt into a puddle of emotion. 13/10 would give him whatever he wants… https://t.co/S9OZHLOXSA,13.0,1519172714.0
287,965752896661966849,2018-02-20 01:00:08,This is Bruce. It turns out he wasn’t invited to the garden party. Pupset would be an understatement. 12/10 we’ll f… https://t.co/ISTYRvHVmb,12.0,1519088408.0
310,964182384164966400,2018-02-15 16:59:28,This is Angel. She accidentally slept through valentine’s day. Hopes this pillow makes pup for it. 13/10 would love… https://t.co/PnaqA3vWNz,13.0,1518713968.0
313,963941034286829568,2018-02-15 01:00:26,This is Rocky and Corona. They seem to be in two very different stages of their own relationship. Both still 12/10… https://t.co/vaBrNDQnIi,12.0,1518656426.0
317,963880818514059267,2018-02-14 21:01:09,"This is Aurora. Today, she has chosen to express her love for peanut butter. A very wise decision indeed. 13/10… https://t.co/8q26Mf3zLj",13.0,1518642069.0
335,963470809745510400,2018-02-13 17:51:56,RT @dog_rates: My goodness guys. We only rate dogs. Please stop sending in bedridden Harp Seals. No matter how huggable. Thank you... 12/10…,12.0,1518544316.0
345,963099438607749121,2018-02-12 17:16:14,This is Sammy. He heard that a flower behind the ear can expupnentially increase one’s fabulousness. 13/10 myth con… https://t.co/UFpNrCi44A,13.0,1518455774.0
359,961767382980136960,2018-02-09 01:03:07,This is Simon. His ball got caught on his tooth. This is his life now. 13/10 someone help him https://t.co/KEohjE98OJ,13.0,1518138187.0
368,960955316073574400,2018-02-06 19:16:15,This is Flapjack. Some snow fell off the tree above him. He’s never felt so betrayed. 12/10 would warm with a snug https://t.co/AK7g92tSfw,12.0,1517944575.0
375,960561900684791812,2018-02-05 17:12:58,Say hello to Bruin. He’s currently lost in exestential wintry bliss. 13/10 would not disturb https://t.co/XAhCpqeziL,13.0,1517850778.0
384,959899229471768579,2018-02-03 21:19:45,"@GCH_Charity i can confidently say she’s a 14/10, along with everyone involved",14.0,1517692785.0
390,959536801861062657,2018-02-02 21:19:35,RT @dog_rates: This is Phil. He's an important dog. Can control the seasons. Magical as hell. 12/10 would let him sign my forehead https://…,12.0,1517606375.0
395,958869737425063938,2018-02-01 01:08:54,This is Sophie. She can see through time itself. Also responds awkwardly to human contact (relatable). 13/10 hypnot… https://t.co/TR5l8AsNWA,13.0,1517447334.0
400,958747293552963585,2018-01-31 17:02:22,@Baylor oh my goodness 12/10 for each,12.0,1517418142.0
407,958456414191710208,2018-01-30 21:46:31,This is Chuck. He’s an exotic pup. Loves potato chips. Powerful kick. 13/10 would definitely still pet https://t.co/Gpaw5JOkUn,13.0,1517348791.0
410,958129275772850176,2018-01-30 00:06:35,This is Trigger. He does not know what happened to the trash can. Offended that you would even ask him. 12/10 no fu… https://t.co/sMQQ8DURAR,12.0,1517270795.0
431,956692843803889669,2018-01-26 00:58:43,Say hello to Ollie. This is his first snow experience. I think he’s a fan. 13/10 would hug softly https://t.co/S3CIl8AF4u,13.0,1516928323.0
438,955609552812113920,2018-01-23 01:14:06,This is Maple. She tripped over an ear while retrieving her ball. Didn’t give pup tho. Hopes you’re proud. 12/10 wo… https://t.co/FZSLfjHN2n,12.0,1516670046.0
439,955493426438516737,2018-01-22 17:32:39,RT @dog_rates: This is Kevin. Kevin doesn't give a single h*ck. Will sit in the fountain if he wants to. 13/10 churlish af https://t.co/r6G…,13.0,1516642359.0
442,955245628845625344,2018-01-22 01:08:00,Meet Piper. She really likes bananas. Fairly adamant about that. 13/10 impeccable puptassium levels https://t.co/fezTcYQEf4,13.0,1516583280.0
445,954760574348546051,2018-01-20 17:00:34,RT @dog_rates: Here's a super supportive puppo participating in the Toronto  #WomensMarch today. 13/10 https://t.co/nTz3FtorBc,13.0,1516467634.0
452,954173060441169926,2018-01-19 02:05:59,Meet Kylo. He’s the handsomest boy you ever did see. Breaks hearts for a living. 14/10 would protect at all costs https://t.co/9DyrH5WpaT,14.0,1516327559.0
456,953674358349844481,2018-01-17 17:04:20,"This is Douglass. He occasionally bursts into song. A capuppella, if you will. 13/10 would support his dreams https://t.co/edJYliQW9y",13.0,1516208660.0
457,953430343532589057,2018-01-17 00:54:42,"This is Coop. He dug a hole, then got stuck in it. Happens to the best of us. 13/10 someone help him https://t.co/fQ6op4MOvz",13.0,1516150482.0
465,953081922535661568,2018-01-16 01:50:12,"RT @dog_rates: This is Jamesy. He gives a kiss to every other pupper he sees on his walk. 13/10 such passion, much tender https://t.co/wk7T…",13.0,1516067412.0
467,952953678230630401,2018-01-15 17:20:36,Haha good one you guys. Submitting a pic without a dog in it. Super clever. You got us. 11/10 for the leash disappe… https://t.co/pce0tZJ4TI,11.0,1516036836.0
477,952044473726488576,2018-01-13 05:07:45,Seriously guys? We only rate dogs. Please don’t send in angels. No matter how heavenly. Thank you... 14/10 would be… https://t.co/AqcvEElSbw,14.0,1515820065.0
483,951504337074819072,2018-01-11 17:21:26,This is Frisco. He’s simply a majestic boy. Planning to place these at the front of his modeling pupfolio. 13/10 wo… https://t.co/jl6BxW0pVr,13.0,1515691286.0
485,951258515674365954,2018-01-11 01:04:38,This is Noisette. She responds well to pats and her name means “tear-inducingly huggable” in French. 13/10 would ch… https://t.co/nsV6VJPubg,13.0,1515632678.0
486,950898829204869120,2018-01-10 01:15:22,This is Lucie. She was demonstrating a standard mlem and side mlem when she sneezed. Quite embarrassed now. 13/10 h… https://t.co/UEI6yVHv5w,13.0,1515546922.0
488,950783127265390593,2018-01-09 17:35:36,This is Hunter. His ball malfunctioned. Really hopes you have a plan to remedy the situation. 12/10 https://t.co/DZzFfjioge,12.0,1515519336.0
501,949776574966124544,2018-01-06 22:55:56,"@yashar smiley and piper have set a standard that can only be met, never surpassed. barring unpredicted inflation, 15/10 tops the scale",15.0,1515279356.0
505,949696116974604288,2018-01-06 17:36:13,This is Cocoa. His human is traveling back to school today. Thought he’d give them one last puptalk. 13/10 would ab… https://t.co/iBj25fK63R,13.0,1515260173.0
519,948972527669383170,2018-01-04 17:40:56,@blackmirror we both know there has to be a normal very good 12/10 dog in season 5 now,12.0,1515087656.0
527,948653544730779649,2018-01-03 20:33:24,RT @dog_rates: This is Kenneth. He's stuck in a bubble. 10/10 hang in there Kenneth https://t.co/uQt37xlYMJ,10.0,1515011604.0
530,948610321387851776,2018-01-03 17:41:39,This is Wilson. He was born with a blurry tail. Doesn’t let that hold him back tho. Still a prosperous puppo. 13/10… https://t.co/Nq8eFyAPk8,13.0,1515001299.0
536,948555825622249472,2018-01-03 14:05:06,RT @beard_mason_: 12/10 for the dog and shirt @dog_rates https://t.co/izt3aiCc0p,12.0,1514988306.0
537,948357622209622020,2018-01-03 00:57:31,This is Winnie. She wants to know who threw that snowball. Commends your accuracy but demands a puppology. 12/10 wo… https://t.co/4BwP2Fb81K,12.0,1514941051.0
547,947995927687630848,2018-01-02 01:00:16,"This is Dexter. He is supreme emperor of the barrels. Floof King of the casks, if you will. 13/10 would happily bow… https://t.co/WvS1ygJTBQ",13.0,1514854816.0
580,946501744929931266,2017-12-28 22:02:55,RT @kay_bannell98: omg look what i got today... was not at all pupared for this cuteness. 14/10. @dog_rates https://t.co/R2lmK0WGut,14.0,1514498575.0
583,946433880898359300,2017-12-28 17:33:15,This is Gimli. He absolutely shreds. Mlem game on another level. 13/10 would consider my girl stolen https://t.co/9VkHm5cdL9,13.0,1514482395.0
589,946068980296568833,2017-12-27 17:23:16,This is Fox. He is a jubilant boy. Hopes your day is wondrous. Will be here for you if it’s not. 13/10 would treasu… https://t.co/Sb1bffYBj3,13.0,1514395396.0
594,945459196014813184,2017-12-26 01:00:12,This is Nugget. He just arrived. Hopes he’s not too late. Says the reindeer express lacked some efficiency. 13/10 https://t.co/LyFBh299Bl,13.0,1514250012.0
598,945414452505206785,2017-12-25 22:02:25,This is Pingo. He’s an exotic pup. Knows some tricks. Weird bark tho. Wanted to brighten your day. 11/10 thank you… https://t.co/NEzZnG1iPn,11.0,1514239345.0
600,945383824174780416,2017-12-25 20:00:42,This is Barkley. Every Christmas he chops down a tree and claims the stump as his own. Nobody knows why. 12/10 https://t.co/77UyuKtEzU,12.0,1514232042.0
602,945369048166084610,2017-12-25 19:01:59,This is Ollie. You can tell how long he’s been posing by how deep of a split the hardwood floor has caused. 13/10 (… https://t.co/AjZ0dps0GY,13.0,1514228519.0
604,945338377565560833,2017-12-25 17:00:07,This is Bailey. It’s her first Christmas. She’s concluded that it’s all a bit much. Prefers the snoozle. 13/10 woul… https://t.co/UX175s5h0r,13.0,1514221207.0
608,945323311436791808,2017-12-25 16:00:15,Meet Delilah. She just wants to show off her gingerbread man bandana. Festive af. 12/10 thanks for the mlemories https://t.co/TPBfjlGlY0,12.0,1514217615.0
610,945308250211266560,2017-12-25 15:00:24,This is Bud. He decided to get his human a card this year. Picked it out himself. Really hopes you like it. 13/10 i… https://t.co/QsT55Cpsvc,13.0,1514214024.0
616,944737425192050688,2017-12-24 01:12:09,RT @dog_rates: Here's a puppo that seems to be on the fence about something haha no but seriously someone help her. 13/10 https://t.co/Bxvu…,13.0,1514077929.0
619,944279878043684865,2017-12-22 18:54:01,This is Clifford. Once puppon a time he tried to fight a car and lost. Now he walks with a wiggle. Still 13/10. Cli… https://t.co/YFAj6H1cwY,13.0,1513968841.0
624,944017379335573504,2017-12-22 01:30:56,This is Jeffrey. He’s very proud of himself for surviving that bath. Admits it wasn’t that bad. 12/10 would reward… https://t.co/tgVHNFkWq4,12.0,1513906256.0
633,943527192444665856,2017-12-20 17:03:07,Say hello to Percy. He is a Luxembourgish Ricotta Flop. A breed known for their sweaters. 12/10 would let him break… https://t.co/QYjuEYlmNt,12.0,1513789387.0
635,943288871093178368,2017-12-20 01:16:06,This is Bella. She’s very shy. Takes her a while to open pup to people. Incredibly susceptible to snugs. 13/10 woul… https://t.co/DW3oKk1sd7,13.0,1513732566.0
642,943169130177400832,2017-12-19 17:20:18,"Meet Archie. He just graduated. A pupper no more. Wants you to throw his cap for him. 12/10 it would be my honor, A… https://t.co/HBVluyVjcW",12.0,1513704018.0
645,942809295963516928,2017-12-18 17:30:27,RT @dog_rates: Here is a doggo doing crunches. Seems to be struggling. Started counting at one thousand when you walked in. 13/10 motivatin…,13.0,1513618227.0
656,941729023691972608,2017-12-15 17:57:50,"This is Cobee. He never gives pup. Has reached previously unseen levels of h*ckin fortitude. 14/10 would boost 
(IG… https://t.co/h92snBavFE",14.0,1513360670.0
659,941479134072594432,2017-12-15 01:24:52,This is Pebbles. She’s a pupfessional yarn battler. Undefeated to this day. 12/10 would h*ckin cherish https://t.co/dVCEhcPVtM,12.0,1513301092.0
664,940993748879757313,2017-12-13 17:16:07,This is Lacey. She’s your uber. If you somehow reach your destination you can just pay her with pets. 13/10 better… https://t.co/Ww9xyAcygX,13.0,1513185367.0
665,940756151389573121,2017-12-13 01:31:59,RT @dog_rates: This is Lucy. She's trying to learn how to smile. Doing her absolute best. 12/10 that's all we can ask for https://t.co/Xr27…,12.0,1513128719.0
676,940388554831814658,2017-12-12 01:11:17,This is Jeffrey. He’s debuting his holiday pajamas this evening. Anxious to know your thoughts on them. 13/10 they’… https://t.co/ED6H7cDcgj,13.0,1513041077.0
677,940380706114621440,2017-12-12 00:40:06,@erin_urn @NathanZed nathan only releases 12/10 merch,12.0,1513039206.0
682,940024196771454977,2017-12-11 01:03:27,This is Remi. He experienced snow for the first time. Wondering why you’d subject him to such frigid h*ckery. 13/10… https://t.co/cjNyw3vqyB,13.0,1512954207.0
690,939178855146934273,2017-12-08 17:04:22,Say hello to Daisy and Rosie. They’re still mastering the art of showing affection. Aren’t we all. Both 12/10 would… https://t.co/rAWYh28ggi,12.0,1512752662.0
694,938942782420504582,2017-12-08 01:26:18,RT @dog_rates: This is Cooper. He built the picket fence himself. Needed a break from the rest of the world. 13/10 relatable af https://t.c…,13.0,1512696378.0
702,938863013330857984,2017-12-07 20:09:20,RT @WaterstonesUxbr: Hey @dog_rates! We rate your book 13/10! https://t.co/SwA4gqCF7b,13.0,1512677360.0
710,938574553533571072,2017-12-07 01:03:06,This is Murphy. He visit... then he hop along. 13/10 please come back soon https://t.co/6otzkKymFa,13.0,1512608586.0
714,938210994136014848,2017-12-06 00:58:26,This is Elsa. She hath claimithed the stump. It is hers now. Nothing you can do about it. 13/10 still waiting on he… https://t.co/1d5akcOtX9,13.0,1512521906.0
716,938083132825272322,2017-12-05 16:30:22,This is Rudy. He’s never been side booped before. Can’t believe you would resort to such ruthless tactics. 13/10 https://t.co/Gx6mrPSd3k,13.0,1512491422.0
741,937095805034524672,2017-12-02 23:07:04,This is Bailey. She has singlehandedly monopolized the complimentary smooch market in her neighborkhood. 13/10… https://t.co/GCVz3iTV3A,13.0,1512256024.0
752,936311305044193281,2017-11-30 19:09:45,RT @sissosuperstar: Rate my birthday present mr @dog_rates! 13/10 indeed 😂♥️ https://t.co/Mm1c2I4hAR,13.0,1512068985.0
761,936037350135693312,2017-11-30 01:01:09,This is Usnavi. She was awarded a hat for not throwing up during the car ride. Quite the accomplishment. 12/10 coul… https://t.co/gApoLspNZ6,12.0,1512003669.0
770,935925286109097984,2017-11-29 17:35:51,RT @dog_rates: This is Walter. He won't start hydrotherapy without his favorite floatie. 14/10 keep it pup Walter https://t.co/r28jFx9uyF,14.0,1511976951.0
775,935603118536085508,2017-11-28 20:15:40,@lorifults um try 11/10,11.0,1511900140.0
807,934945121988202496,2017-11-27 00:41:02,This is Ryder. He just wanted to hug the dog outside. Officially bamboozled. 14/10 (IG: ruffryderthegr) https://t.co/f3mu1cZtof,14.0,1511743262.0
832,934223871452073985,2017-11-25 00:55:02,RT @dog_rates: This is Bentley. He's very puptective of his bear son. Doesn't let him out of sight. 13/10 fatherly af https://t.co/usiu6B8G…,13.0,1511571302.0
836,934104361420062722,2017-11-24 17:00:09,This is Mac. He was just called “the handsomest boy.” Quite the compupliment. 13/10 would blush if he could https://t.co/1OvFJm63JD,13.0,1511542809.0
854,933499111793483777,2017-11-23 00:55:06,This is Samson. He politely requests a push. Maybe even a mobile household tour. 12/10 will pout until it happens https://t.co/t7dzZGutNd,12.0,1511398506.0
866,933019239581147136,2017-11-21 17:08:16,"This is Gustaff. He’s never seen a tennis ball put up such a fight before. 14/10 would assist in the conquering
(IG… https://t.co/9M48ZQ7wMH",14.0,1511284096.0
871,932776017739091968,2017-11-21 01:01:47,This is Tavern. In all his travels he’s never stumbled puppon a pumpkin so big. Can’t h*ckin process it. 12/10 https://t.co/jNdALZqaPH,12.0,1511226107.0
884,932416024724488193,2017-11-20 01:11:18,This is Dave. He thinks he’s a tortoise. 12/10 nobody tell him https://t.co/ZfYI3GcvTQ,12.0,1511140278.0
893,931958433372409857,2017-11-18 18:53:00,"Meet Toby. After years of having to put effort into walks, he has decided to pupgrade to this sweet ride. 13/10 lux… https://t.co/SjNF0md4DJ",13.0,1511031180.0
898,931703092495646720,2017-11-18 01:58:22,RT @dog_rates: This is Stephan. He just wants to help. 13/10 such a good boy https://t.co/DkBYaCAg2d,13.0,1510970302.0
909,931573713023176704,2017-11-17 17:24:15,This is Kronos. He attempted to beat the land speed record for zooms. Tore his ACL in the process. Still 13/10 woul… https://t.co/hkasiicsie,13.0,1510939455.0
915,931325917338787842,2017-11-17 00:59:36,Ugh not again. Please don’t send us angry polar bears. Send those to the EPA. We only rate dogs. Thank you... 13/10 https://t.co/fON6ZGtmFN,13.0,1510880376.0
926,930963204884303872,2017-11-16 00:58:19,This is Jozy. She learned how to wave today. 13/10 simply breathtaking https://t.co/Cl4wLgUbXv,13.0,1510793899.0
931,930622279209373696,2017-11-15 02:23:36,RT @dog_rates: This is Stone. He likes to wear socks outside. It's a questionable lifestyle but I support it. 13/10 would pat head approvin…,13.0,1510712616.0
932,930616572716158978,2017-11-15 02:00:55,Say hello to Churro. He's not actually a fried-dough pastry. H*ckin deceptive if you ask me. 13/10 would make a won… https://t.co/pBlsNCa4J8,13.0,1510711255.0
935,930240158183641089,2017-11-14 01:05:11,This is Remi. He dispupproves of your plastic cutlery. Recommends compostable next time. 13/10 environmentally cons… https://t.co/eWJlzjsc7D,13.0,1510621511.0
966,929469472687214594,2017-11-11 22:02:45,You’re joking. Another picture without a dog in it? This is simply disrespectful. Very fancy tile tho. 13/10 https://t.co/RIBWx7WiSi,13.0,1510437765.0
983,928793347086577665,2017-11-10 01:16:04,This is Fen. Swinging is his passion. It helps him forgot about his puproblems. 13/10 would push https://t.co/uKB1dtjBsC,13.0,1510276564.0
989,928429860388851717,2017-11-09 01:11:42,This is Samson. His Halloween pajamas got lost in the mail. Didn’t arrive til today. Rather pupset. 13/10 guess we’… https://t.co/V9CzyfhsSq,13.0,1510189902.0
995,928272345415995392,2017-11-08 14:45:48,Here’s a puppo who forgot he cloned himself. Quite the surpuprise. 13/10 for both (IG: bosunthefrenchie) https://t.co/EX1kNZ2VRU,13.0,1510152348.0
1003,927945631544631296,2017-11-07 17:07:33,@TomPerez I think 12/10 is more puppropriate tbh Tom,12.0,1510074453.0
1033,926962678219800576,2017-11-05 00:01:39,This is Dexter. He was photographed before and after being asked who is the goodest boy of all. 13/10 hint hint it’… https://t.co/GIqdnL9uUg,13.0,1509840099.0
1043,926250689503821824,2017-11-03 00:52:27,"This is Finn. He goes door to door asking if anybody has seen the good boy. They have now, of course. 13/10 would h… https://t.co/u4cFMYouDi",13.0,1509670347.0
1060,925555767591157760,2017-11-01 02:51:05,This is Maggie. She has no concept of tie length. Still doing her absolute best. 13/10 happy h*ckin Halloween https://t.co/guEbhv3rbx,13.0,1509504665.0
1065,925527922550620161,2017-11-01 01:00:26,"This is Jake from State Farm. She sounds hideous, but he’s a guy so... 13/10 would never hang pup on https://t.co/SglDgticr1",13.0,1509498026.0
1067,925512753179009024,2017-11-01 00:00:10,This is Rocky. He wanted to be a pancake for Halloween. Didn’t let anybody come between him and his dreams. 14/10 i… https://t.co/wBgGREB4x8,14.0,1509494410.0
1072,925468906130612224,2017-10-31 21:05:56,This is Vincent. He’s a very tired dragon. Found out it’s exhausting being so terrifying. 13/10 rest pup little bud… https://t.co/KGiWux21OG,13.0,1509483956.0
